word|start_time|end_time|duration|pause_before|pause_after|pos|punctuation_before|punctuation_after|speech_rate_phon|f0_mean|i0_mean|f0_slope|i0_slope|f0_sd|i0_sd|f0_range|i0_range|f0_contour_xaxis|f0_contour|i0_contour_xaxis|i0_contour
the|0.51|0.65|0.14|0.0|0.0|NA|||-1|-0.8615|1.3397|7.4754|87.0815|0.4332|2.8284|1.0551|6.3061|[31.0, 38.0, 46.0, 53.0, 61.0, 68.0, 76.0, 83.0]|[118.732, 118.813, 113.822, 112.432, 112.617, 112.802, 112.425, 111.788]|[]|[]
car|0.65|1.04|0.39|0.0|0.0|NA|||-1|1.4598|4.7126|-11.916|-34.248|1.0742|8.0156|3.0019|22.6114|[29.0, 31.0, 34.0, 36.0, 39.0, 41.0, 43.0, 46.0, 48.0, 51.0, 53.0, 56.0, 58.0, 60.0, 63.0, 65.0, 68.0, 70.0, 72.0, 75.0, 77.0, 80.0, 82.0]|[126.499, 124.192, 124.85, 123.993, 122.917, 121.252, 120.747, 121.787, 123.004, 124.813, 126.054, 129.036, 131.427, 133.221, 134.845, 137.759, 138.959, 140.582, 142.083, 144.036, 143.609, 143.57, 141.698]|[]|[]
is|1.04|1.26|0.22|0.0|0.0|NA|||-1|1.5861|-2.7676|23.421|109.3255|0.7979|4.4172|2.0112|11.6225|[8.0, 12.0, 16.0, 20.0, 25.0, 29.0, 33.0, 37.0, 41.0, 45.0, 50.0, 54.0, 58.0]|[140.313, 141.139, 139.681, 139.739, 130.649, 129.954, 128.96, 127.306, 125.999, 125.66, 126.181, 127.794, 127.581]|[]|[]
red|1.26|1.72|0.46|0.0|0.0|NA||.|-1|-4.564|-5.5638|32.487|160.185|1.484|11.2817|3.719|29.6452|[7.0, 10.0, 14.0, 17.0, 20.0, 23.0, 27.0, 30.0, 33.0, 36.0, 40.0, 43.0, 46.0]|[103.365, 102.48, 101.025, 99.161, 96.645, 94.293, 89.439, 88.651, 84.38, 83.52, 83.383, 83.419, 83.28]|[]|[]
<END>|0.0|0.0|0.0|0.0|0.0|NA|||-1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|[]|[]|[]|[]
