word|start_time|end_time|duration|pause_before|pause_after|pos|punctuation_before|punctuation_after|speech_rate_phon|f0_mean|i0_mean|f0_slope|i0_slope|f0_sd|i0_sd|f0_range|i0_range|f0_contour_xaxis|f0_contour|i0_contour_xaxis|i0_contour
i|3.43|3.55|0.0|0.0|0.0|NN|||-1|-5.319|10.3275|-8.0434|21.1394|0.0614|0.3187|0.2171|0.9714|[11.0, 16.0, 21.0, 25.0, 30.0, 35.0, 40.0, 45.0, 49.0, 54.0, 59.0, 64.0, 69.0, 74.0, 78.0, 83.0, 88.0]|[196.351, 195.312, 194.986, 193.905, 193.946, 194.619, 195.154, 195.797, 195.79, 195.037, 195.131, 194.917, 195.725, 195.669, 195.287, 195.922, 196.174]|[]|[]
lived|3.55|3.71|0.0|0.0|0.0|VBD|||-1|-5.1985|4.1262|2.3859|796.8027|0.4488|8.1146|1.643|21.2409|[8.0, 12.0, 16.0, 19.0, 23.0, 26.0, 30.0, 33.0, 37.0, 41.0, 44.0, 48.0, 51.0, 55.0, 58.0, 62.0, 66.0, 69.0, 73.0, 76.0, 80.0, 83.0, 87.0, 91.0]|[194.81, 194.894, 199.788, 200.829, 201.912, 202.05, 201.102, 200.437, 200.243, 200.057, 197.844, 193.863, 190.12, 189.736, 183.757, 187.409, 191.449, 196.689, 199.746, 201.73, 199.782, 199.502, 197.281, 195.867]|[]|[]
there|3.71|3.88|0.0|0.0|0.0|EX|||-1|-5.4329|10.9881|32.6832|64.7113|0.4836|1.7461|1.962|6.3177|[6.0, 10.0, 13.0, 17.0, 20.0, 24.0, 27.0, 31.0, 34.0, 37.0, 41.0, 44.0, 48.0, 51.0, 55.0, 58.0, 62.0, 65.0, 68.0, 72.0, 75.0, 79.0, 82.0, 86.0, 89.0, 93.0]|[210.298, 203.824, 197.35, 200.911, 199.6, 197.169, 198.167, 197.424, 196.62, 195.156, 194.081, 193.989, 193.124, 191.974, 190.75, 191.668, 191.797, 191.667, 190.813, 189.77, 188.868, 188.478, 188.406, 188.262, 187.898, 187.766]|[]|[]
until|3.88|4.15|0.0|0.0|0.0|IN|||-1|-5.4106|3.6686|-42.139|-62.1038|0.9082|6.748|3.5268|22.3809|[4.0, 6.0, 8.0, 11.0, 13.0, 15.0, 17.0, 19.0, 22.0, 24.0, 26.0, 28.0, 31.0, 33.0, 35.0, 37.0, 39.0, 42.0, 44.0, 46.0, 48.0, 51.0, 53.0, 55.0, 57.0, 59.0, 62.0, 64.0, 66.0, 68.0, 71.0, 73.0, 75.0, 77.0, 79.0, 82.0, 84.0, 86.0, 88.0, 91.0, 93.0, 95.0]|[184.784, 183.551, 183.888, 183.009, 180.603, 182.578, 187.701, 187.159, 188.632, 189.215, 189.086, 188.454, 184.61, 175.611, 180.279, 182.613, 184.947, 187.281, 189.615, 191.949, 194.283, 196.617, 198.952, 201.286, 203.62, 205.954, 208.288, 210.622, 215.29, 213.504, 208.488, 207.914, 206.254, 204.346, 202.677, 200.986, 198.992, 198.284, 197.597, 196.923, 196.371, 196.518]|[]|[]
i|4.15|4.24|0.0|0.0|0.0|NN|||-1|-6.2171|9.7105|61.0112|153.7466|0.3458|0.4976|1.0472|1.2596|[15.0, 22.0, 29.0, 36.0, 43.0, 49.0, 56.0, 63.0, 70.0, 77.0, 84.0]|[192.784, 190.314, 188.735, 186.786, 184.71, 183.457, 183.748, 183.119, 183.176, 181.531, 181.469]|[]|[]
was|4.24|4.41|0.0|0.0|0.0|VBD|||-1|-6.6071|2.3566|-25.3707|395.6768|0.1781|3.7247|0.506|9.2567|[7.0, 11.0, 15.0, 18.0, 22.0, 26.0, 29.0, 33.0, 37.0, 40.0, 44.0, 48.0]|[179.263, 179.264, 179.04, 180.287, 181.118, 182.144, 182.482, 182.567, 184.35, 184.261, 180.64, 179.991]|[]|[]
14|4.41|4.84|0.0|0.0|0.0|CD|||-1|-5.0555|2.4503|-38.6028|-103.3747|1.1071|7.9691|5.0241|25.3877|[16.0, 17.0, 19.0, 20.0, 22.0, 23.0, 24.0, 26.0, 27.0, 28.0, 30.0, 31.0, 32.0, 34.0, 35.0, 37.0, 38.0, 39.0, 41.0, 42.0, 43.0, 45.0, 46.0, 47.0, 49.0, 50.0, 52.0, 53.0, 54.0, 56.0, 57.0, 58.0, 60.0, 61.0, 62.0, 64.0, 65.0, 67.0, 68.0, 69.0, 71.0, 72.0, 73.0, 75.0, 76.0, 77.0, 79.0, 80.0, 82.0, 83.0, 84.0, 86.0, 87.0, 88.0, 90.0, 91.0, 92.0, 94.0, 95.0, 97.0]|[191.408, 188.13, 188.772, 189.421, 190.12, 185.658, 188.315, 190.187, 193.083, 191.799, 195.269, 197.012, 197.581, 196.785, 195.377, 190.642, 191.902, 192.839, 191.561, 190.472, 191.384, 192.149, 192.531, 192.914, 193.296, 193.679, 194.061, 194.444, 194.826, 195.209, 195.591, 195.974, 196.356, 196.738, 197.121, 197.503, 197.886, 198.651, 196.096, 197.357, 198.923, 199.786, 199.701, 191.913, 184.125, 184.616, 187.032, 193.561, 195.061, 197.095, 205.395, 204.798, 211.606, 223.2, 224.229, 228.628, 231.033, 233.902, 240.442, 246.121]|[]|[]
when|4.95|5.1|0.0|0.11|0.0|WRB|||-1|-3.9384|9.455|174.046|-3.5648|1.3893|1.2113|4.4636|3.3587|[8.0, 12.0, 16.0, 20.0, 23.0, 27.0, 31.0, 35.0, 38.0, 42.0, 46.0, 50.0, 53.0, 57.0, 61.0, 64.0, 68.0, 72.0, 76.0, 79.0, 83.0, 87.0, 91.0]|[248.565, 240.113, 236.252, 232.078, 228.546, 227.75, 224.484, 223.91, 216.163, 215.282, 210.564, 207.859, 204.086, 203.927, 198.072, 197.833, 192.073, 197.327, 197.434, 194.514, 194.488, 195.537, 192.527]|[]|[]
i|5.1|5.19|0.0|0.0|0.0|NN|||-1|-7.0724|9.0028|113.0944|140.0672|0.4684|0.3916|1.4298|1.0085|[17.0, 24.0, 32.0, 39.0, 46.0, 53.0, 60.0, 67.0, 75.0, 82.0]|[183.156, 182.112, 180.431, 178.412, 178.73, 174.21, 174.89, 171.932, 172.755, 168.637]|[]|[]
decided|5.26|5.53|0.0|0.07|0.0|VBD|||-1|-6.4629|3.4584|-9.8189|-114.5536|0.2824|5.1905|1.2577|18.7268|[39.0, 41.0, 44.0, 46.0, 48.0, 51.0, 53.0, 55.0, 58.0, 60.0, 62.0, 64.0, 67.0, 69.0, 71.0, 74.0, 76.0, 78.0, 80.0, 83.0, 85.0, 87.0, 90.0]|[184.198, 183.658, 184.221, 182.127, 181.792, 181.071, 181.088, 181.809, 180.717, 181.122, 181.325, 181.527, 181.73, 181.932, 182.135, 182.54, 190.028, 186.516, 190.386, 184.184, 184.208, 177.046, 179.38]|[]|[]
to|5.53|5.59|0.0|0.0|0.0|TO|||-1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|[]|[]|[]|[]
go|5.59|5.7|0.0|0.0|0.0|VB|||-1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|[]|[]|[]|[]
to|5.7|5.78|0.0|0.0|0.0|TO|||-1|-6.2905|7.5977|56.5913|-1780.3285|0.3117|3.3803|0.9412|7.8509|[15.0, 23.0, 31.0, 38.0, 46.0, 53.0, 61.0, 68.0, 76.0, 84.0]|[186.494, 187.28, 182.726, 185.548, 188.37, 187.894, 185.103, 184.446, 180.209, 178.403]|[]|[]
boarding|5.78|6.1|0.0|0.0|0.0|VBG|||-1|-7.5803|5.5145|-12.8274|80.0093|0.3268|4.9155|1.4304|17.0669|[4.0, 6.0, 8.0, 10.0, 12.0, 14.0, 16.0, 18.0, 20.0, 23.0, 25.0, 27.0, 29.0, 31.0, 33.0, 35.0, 37.0, 39.0, 41.0, 43.0, 45.0, 47.0, 50.0, 52.0, 54.0, 56.0, 58.0, 60.0, 62.0, 64.0, 66.0, 68.0, 70.0, 72.0, 74.0, 76.0, 79.0, 81.0, 83.0, 85.0, 87.0, 89.0]|[173.934, 170.566, 167.611, 165.584, 166.013, 163.735, 166.406, 167.742, 170.412, 174.801, 177.583, 177.838, 177.059, 174.893, 172.702, 171.845, 170.695, 170.933, 170.693, 171.009, 170.441, 170.775, 171.657, 170.955, 169.595, 170.534, 172.727, 172.086, 167.101, 177.34, 174.91, 172.379, 169.066, 169.604, 170.594, 171.17, 174.478, 173.708, 174.035, 172.025, 171.001, 170.405]|[]|[]
school|6.1|6.43|0.0|0.0|0.0|NN|||-1|-1.9043|-0.3515|-230.8846|-223.9431|2.0484|8.2175|6.4677|29.0834|[42.0, 44.0, 45.0, 47.0, 49.0, 50.0, 52.0, 54.0, 55.0, 57.0, 58.0, 60.0, 62.0, 63.0, 65.0, 67.0, 68.0, 70.0, 71.0, 73.0, 75.0, 76.0, 78.0, 80.0, 81.0, 83.0, 84.0, 86.0, 88.0, 89.0, 91.0, 93.0, 94.0, 96.0]|[192.574, 185.529, 193.153, 196.966, 200.778, 204.591, 208.403, 212.216, 216.028, 219.841, 223.653, 227.466, 231.278, 235.091, 238.903, 242.715, 246.528, 254.153, 259.206, 259.915, 257.103, 258.053, 261.568, 262.359, 263.985, 267.819, 267.345, 266.284, 261.57, 259.884, 266.56, 269.561, 266.288, 263.318]|[]|[]
in|6.73|6.94|0.0|0.3|0.0|IN|||-1|-4.9753|4.123|88.1533|-1159.9644|0.5002|9.81|1.7276|27.5796|[45.0, 48.0, 51.0, 54.0, 56.0, 59.0, 62.0, 64.0, 67.0, 70.0, 72.0, 75.0, 78.0, 80.0, 83.0, 86.0, 88.0, 91.0, 94.0]|[204.528, 202.446, 201.802, 203.816, 203.952, 204.798, 203.927, 204.325, 202.61, 202.812, 198.815, 195.776, 198.913, 199.852, 197.011, 194.25, 191.652, 189.511, 185.347]|[]|[]
