word|punctuation_before|pos|pause_before|f0_mean|f0_range|i0_mean|i0_range
it|.|PRP|2.86|4.5706|2.544|2.2298|2.2298
was||VBD|0.0|1.9698|8.8945|2.2474|2.2474
dinnertime||JJ|0.0|-3.1031|10.3838|3.1582|3.1582
and|,|CC|0.5|-1.4696|2.0691|4.5944|4.5944
we||PRP|0.59|-2.1857|2.9623|4.1839|4.1839
started||VBD|0.0|1.8267|5.1647|4.7781|4.7781
looking||VBG|0.0|1.251|3.9037|6.4468|6.4468
for||IN|0.0|-1.6123|1.4565|3.5998|3.5998
a||DT|0.0|-3.0582|3.213|2.6667|2.6667
place||NN|0.0|-3.7904|4.9392|1.8386|1.8386
to||TO|0.0|-4.2776|4.743|-1.7831|-1.7831
eat||VB|0.0|-6.7619|5.9695|-0.5385|-0.5385
we|.|PRP|0.0|0.0|0.0|0.0|0.0
were||VBD|0.0|0.0|0.0|0.0|0.0
on||IN|0.0|-5.284|2.9973|6.7259|6.7259
i||JJ|0.0|-2.5104|4.4978|7.7127|7.7127
forty||NN|0.0|0.0122|1.9633|2.6201|2.6201
we|.|PRP|0.0|7.0367|5.0845|5.6904|5.6904
got||VBD|0.0|6.9469|2.9944|4.2499|4.2499
to||TO|0.0|5.5914|8.3327|0.6521|0.6521
exit||VB|0.0|6.7317|8.0989|-0.9838|-0.9838
two||CD|0.0|0.7511|6.4093|2.1929|2.1929
hundred||CD|0.0|0.0|0.0|0.0|0.0
and||CC|0.0|0.0|0.0|0.0|0.0
thirty||JJ|0.0|-2.3425|3.64|5.617|5.617
eight||CD|0.0|-4.9557|2.6694|-2.4418|-2.4418
lebanon|,|NNS|0.0|-4.3104|4.3824|2.9727|2.9727
tennessee|,|VBP|0.0|-3.4207|4.8711|-0.1262|-0.1262
we|.|PRP|0.0|-9.2263|2.1821|-1.2875|-1.2875
got||VBD|0.0|-6.3712|6.1673|6.1241|6.1241
off||RP|0.0|-3.1455|1.4403|3.4333|3.4333
the||DT|0.0|-4.4405|2.3478|3.5983|3.5983
exit||NN|0.0|-5.3774|3.2889|-0.1177|-0.1177
started|,|VBD|0.0|-5.7698|1.0303|4.3969|4.3969
looking||VBG|0.0|-4.4238|3.533|1.7741|1.7741
for||IN|0.0|-7.1082|0.9317|1.4955|1.4955
a||DT|0.0|-2.8691|7.2213|4.1752|4.1752
we||PRP|0.0|-7.5442|6.9125|0.7812|0.7812
found||VBD|0.0|0.0|0.0|0.0|0.0
a||DT|0.0|-5.8821|2.8838|1.3547|1.3547
shoney's||NN|0.0|-7.3864|2.2045|-1.0775|-1.0775
restaurant||NN|0.0|-7.6543|1.4804|3.9768|3.9768
<END>|.|NA|0.0|0.0|0.0|0.0|0.0
