word|speaker_id|id|start_time|end_time|duration|pause_before|pause_after|pos|punctuation_before|punctuation_after|f0_mean_hz|i0_mean_db|f0_mean|i0_mean
you|Hiro|heroes_s3_2_eng_aligned.segment10.word1|0.0|0.4|0.4|0.63|0.0|NA|||309.0|74.0|7.5947|2.7524
stole|Hiro|heroes_s3_2_eng_aligned.segment10.word2|0.4|0.69|0.29|0.0|0.0|NA|||237.0|73.0|3.002|2.5168
something|Hiro|heroes_s3_2_eng_aligned.segment10.word3|0.69|1.05|0.36|0.0|0.0|NA|||145.0|69.0|-5.504|1.5412
from|Hiro|heroes_s3_2_eng_aligned.segment10.word4|1.05|1.24|0.19|0.0|0.0|NA|||129.0|66.0|-7.5282|0.7717
me|Hiro|heroes_s3_2_eng_aligned.segment10.word5|1.24|1.36|0.12|0.0|1.84|NA||.|0.0|60.0|0.0|-0.8784
