word|speaker_id|id|start_time|end_time|duration|pause_before|pause_after|pos|punctuation_before|punctuation_after|f0_mean_hz|i0_mean_db|f0_mean|i0_mean
it's|Maya|heroes_s3_2_eng_aligned.segment9.word1|0.0|0.12|0.12|0.11|0.13|NA|||0.0|59.0|0.0|-0.8358
evil|Maya|heroes_s3_2_eng_aligned.segment9.word2|0.25|0.81|0.56|0.13|0.03|NA|||197.0|64.0|-3.4084|0.5724
and|Maya|heroes_s3_2_eng_aligned.segment9.word3|0.84|0.97|0.13|0.03|0.0|NA|||211.0|70.0|-2.2199|2.1238
you|Maya|heroes_s3_2_eng_aligned.segment9.word4|0.97|1.06|0.09|0.0|0.0|NA|||192.0|68.0|-3.8535|1.622
should|Maya|heroes_s3_2_eng_aligned.segment9.word5|1.06|1.3|0.24|0.0|0.0|NA|||219.0|64.0|-1.5756|0.5724
destroy|Maya|heroes_s3_2_eng_aligned.segment9.word6|1.3|1.81|0.51|0.0|0.0|NA|||282.0|63.0|2.8015|0.2998
it|Maya|heroes_s3_2_eng_aligned.segment9.word7|1.81|2.13|0.32|0.0|0.63|NA||.|129.0|58.0|-10.7383|-1.1318
